uid,t,d,x,y
50001,1,1,122,41
50001,2,1,123,41
50001,5,1,123,41
50001,12,1,123,41
50001,15,1,122,41
50001,29,1,123,41
50001,16,1,123,41
50001,21,1,122,41
50001,41,1,122,41
50001,7,2,122,41
50001,31,2,123,41
50001,17,2,123,41
50001,33,2,122,41
50001,18,2,122,41
50001,43,2,122,41
50001,23,2,123,41
50001,19,3,122,41
50001,21,3,122,41
50001,13,3,122,41
50001,25,3,122,41
50001,20,3,120,35
50001,2,4,121,38
50001,15,4,121,37
50001,2,5,121,37
50001,31,5,120,35
50001,2,6,121,38
50001,4,7,121,38
50001,17,8,120,35
50001,5,9,123,41
50001,41,10,120,35
50001,24,10,120,35
50001,3,11,122,40
50001,27,11,122,41
50001,23,12,122,41
50001,15,13,122,40
50001,4,14,122,41
50001,7,14,122,41
50001,15,14,123,41
50001,1,15,122,41
50001,17,15,122,41
50001,19,15,122,41
50001,11,15,122,41
50001,5,16,122,41
50001,25,16,122,41
50001,14,16,123,41
50001,31,16,121,36
50001,3,17,121,38
50001,5,17,122,41
50001,13,17,123,41
50001,25,17,122,41
50001,17,17,122,41
50001,25,18,123,41
50001,14,18,123,41
50001,41,18,122,40
50001,22,18,123,41
50001,31,19,122,41
50001,39,19,123,41
50001,21,19,123,41
50001,22,19,123,41
50001,43,20,122,41
50001,23,20,122,41
50001,41,21,120,35
50001,1,22,120,35
50001,4,22,122,41
50001,11,22,122,41
50001,21,22,122,41
50001,13,22,123,41
50001,29,22,121,36
50001,2,23,121,37
50001,4,23,122,41
50001,12,23,122,41
50001,25,23,123,41
50001,29,23,121,38
50001,23,23,120,35
50001,1,24,120,35
50001,2,24,121,37
50001,33,24,123,41
50001,43,24,122,41
50001,21,25,120,35
50002,23,1,114,33
50002,24,2,114,33
50002,24,3,114,33
50002,12,4,114,33
50002,23,5,113,33
50002,45,5,113,33
50002,2,6,113,33
50002,9,6,113,33
50002,22,6,113,33
50002,45,6,113,33
50002,10,7,113,33
50002,11,8,113,33
50002,41,8,113,33
50002,24,9,113,33
50002,41,10,113,33
50002,17,11,113,33
50002,23,11,113,33
50002,45,11,113,33
50002,17,12,113,33
50002,13,12,114,33
50002,33,12,113,33
50002,18,12,113,33
50002,22,12,114,33
50002,31,13,115,34
50002,43,14,113,33
50002,23,15,113,33
50002,45,16,113,33
50002,45,17,113,33
50002,39,18,113,33
50002,21,18,113,33
50002,41,18,113,33
50002,19,19,113,33
50002,37,19,113,33
50002,21,20,113,33
50002,21,21,113,33
50002,10,22,113,33
50002,16,22,115,34
50002,45,23,113,33
50002,24,23,113,33
50002,22,24,113,33
50002,21,25,113,33
50003,19,1,36,18
50003,13,2,36,18
50003,13,3,36,18
50003,1,4,35,18
50003,33,5,35,18
50003,13,6,36,18
50003,18,6,35,18
50003,29,7,35,18
50003,4,8,36,18
50003,7,9,35,18
50003,11,10,36,18
50003,27,11,36,18
50003,18,12,36,18
50003,45,13,36,18
50003,18,14,36,18
50003,0,15,36,18
50003,1,16,35,19
50003,29,17,35,18
50003,6,18,35,18
50003,19,18,35,18
50003,11,19,35,18
50003,18,20,35,18
50003,13,21,35,18
50003,7,22,35,18
50003,13,23,35,18
50003,9,24,35,18
50003,9,25,35,18
50025,19,1,124,45
50025,12,2,124,45
50025,13,2,124,45
