userid,timeslot,rank,x,y
18,29,1.0,174,450
18,19,5.0,175,447
18,18,7.0,175,447
18,16,8.0,174,450
18,18,10.0,175,447
18,33,14.0,174,447
18,1,15.0,176,430
18,37,19.0,175,447
18,29,2.0,175,460
18,13,3.0,179,405
18,25,4.0,174,457
18,1,6.0,175,460
18,19,9.0,175,447
18,14,11.0,168,451
18,33,12.0,191,450
18,0,13.0,178,405
18,25,16.0,174,457
18,35,17.0,168,452
18,14,18.0,168,452
18,45,20.0,175,447
204,31,2.0,182,435
204,3,3.0,177,427
204,5,4.0,176,429
204,15,5.0,178,427
204,45,6.0,176,428
204,37,7.0,179,422
204,7,8.0,177,427
204,3,9.0,174,418
204,4,10.0,178,429
204,7,11.0,177,427
204,13,12.0,177,427
204,7,13.0,177,427
204,39,14.0,183,420
204,19,15.0,178,427
204,4,16.0,178,428
204,1,17.0,178,427
204,13,18.0,177,426
204,7,19.0,177,428
204,5,20.0,177,428
204,3,1.0,10,292
815,20,1.0,78,4
815,15,2.0,78,4
815,16,3.0,78,4
815,15,4.0,78,4
815,15,5.0,78,4
815,16,6.0,78,4
815,17,7.0,78,4
815,3,8.0,79,17
815,33,9.0,78,4
815,20,10.0,78,4
815,19,11.0,78,3
815,19,12.0,78,4
815,35,13.0,78,3
815,35,14.0,78,4
815,29,15.0,78,4
815,15,16.0,78,4
815,16,17.0,78,4
815,18,18.0,78,3
815,27,19.0,78,4
815,41,20.0,78,4
1323,33,1.0,93,388
1323,15,2.0,99,385
1323,14,3.0,94,387
1323,27,4.0,93,388
1323,23,5.0,94,387
1323,0,6.0,94,387
1323,13,7.0,94,387
1323,2,8.0,94,387
1323,1,9.0,94,387
1323,27,10.0,93,388
1323,3,11.0,94,387
1323,23,12.0,94,387
1323,0,13.0,94,388
1323,5,14.0,94,387
1323,43,15.0,94,387
1323,17,16.0,93,388
1323,2,17.0,94,387
1323,24,18.0,94,387
1323,3,19.0,95,387
1323,43,20.0,93,388
1447,20,16.0,198,591
1447,0,1.0,204,596
1447,45,2.0,205,585
1447,43,3.0,202,587
1447,0,4.0,201,593
1447,1,5.0,199,594
1447,1,6.0,200,592
1447,35,7.0,199,594
1447,35,8.0,205,583
1447,1,9.0,202,587
1447,21,10.0,192,593
1447,27,11.0,202,583
1447,19,12.0,202,580
1447,0,13.0,202,579
1447,45,14.0,193,593
1447,33,15.0,191,594
1447,45,17.0,201,593
1447,15,18.0,202,587
1447,39,19.0,201,587
1447,3,20.0,202,587
1556,20,1.0,184,419
1556,43,2.0,174,422
1556,0,3.0,176,414
1556,24,4.0,179,422
1556,2,5.0,177,420
1556,11,7.0,179,422
1556,19,8.0,176,411
1556,2,9.0,173,415
1556,14,10.0,175,422
1556,17,11.0,176,429
1556,15,12.0,176,429
1556,0,13.0,176,414
1556,5,14.0,173,415
1556,1,15.0,176,414
1556,1,16.0,176,413
1556,14,17.0,175,424
1556,3,18.0,172,415
1556,27,19.0,176,429
1556,1,20.0,172,416
1556,19,6.0,176,423
1568,3,4.0,177,427
1568,0,5.0,177,424
1568,41,6.0,187,431
1568,37,7.0,179,429
1568,24,8.0,176,429
1568,13,9.0,177,427
1568,17,10.0,177,427
1568,20,11.0,186,431
1568,3,12.0,177,427
1568,7,13.0,178,428
1568,8,14.0,177,427
1568,39,15.0,184,420
1568,22,16.0,188,432
1568,9,17.0,177,427
1568,11,18.0,177,427
1568,37,19.0,175,420
1568,24,1.0,206,434
1568,0,2.0,208,436
1568,2,3.0,185,430
1568,21,20.0,185,430
1732,33,1.0,256,493
1732,33,2.0,273,488
1732,29,3.0,263,483
1732,5,4.0,265,494
1732,33,5.0,273,488
1732,33,6.0,266,494
1732,21,7.0,262,489
1732,1,8.0,265,494
1732,1,9.0,265,491
1732,17,10.0,273,488
1732,17,11.0,273,488
1732,0,12.0,265,494
1732,0,13.0,261,488
1732,0,14.0,289,441
1732,0,15.0,273,488
1732,0,16.0,265,493
1732,35,17.0,273,488
1732,3,18.0,265,494
1732,1,19.0,267,493
1732,33,20.0,273,488
3535,1,1.0,289,325
3535,1,2.0,184,419
3535,3,3.0,101,383
3535,43,4.0,184,419
3535,29,5.0,292,338
3535,0,6.0,218,289
3535,43,7.0,235,441
3535,35,11.0,331,310
3535,1,12.0,245,273
3535,39,8.0,242,280
3535,35,9.0,323,308
3535,15,10.0,326,309
3535,31,13.0,90,389
3535,1,14.0,331,310
3535,24,15.0,250,276
3535,4,16.0,327,310
3535,0,17.0,328,311
3535,45,18.0,331,310
3535,25,19.0,327,310
3535,1,20.0,143,397
3652,35,4.0,176,411
3652,9,5.0,176,427
3652,1,6.0,173,447
3652,19,7.0,176,411
3652,16,8.0,187,447
3652,45,9.0,173,447
3652,43,10.0,163,438
3652,24,11.0,176,427
3652,37,12.0,165,436
3652,15,13.0,175,447
3652,17,14.0,178,405
3652,3,15.0,177,412
3652,39,16.0,186,447
3652,20,17.0,176,411
3652,1,19.0,173,447
3652,20,20.0,174,419
3652,3,1.0,173,447
3652,3,18.0,173,420
3652,18,2.0,174,419
3652,35,3.0,173,447
4219,0,1.0,176,391
