userid,timeslot,rank,x,y
18,29,1.0,35,90
18,19,5.0,35,89
18,18,7.0,36,89
18,16,8.0,35,90
18,18,10.0,35,89
18,29,2.0,36,92
18,13,3.0,36,81
18,25,4.0,35,91
18,1,6.0,36,92
18,19,9.0,35,89
18,14,11.0,34,90
18,33,12.0,39,90
204,31,2.0,37,87
204,3,3.0,36,85
204,5,4.0,36,85
204,15,5.0,36,85
204,45,6.0,36,85
204,37,7.0,36,84
204,7,8.0,36,85
204,3,9.0,35,83
204,4,10.0,36,85
204,7,11.0,36,85
204,13,12.0,36,85
204,3,1.0,2,58
232,23,7.0,16,118
232,0,8.0,41,116
232,15,9.0,41,115
232,29,10.0,35,89
232,35,11.0,39,118
232,25,12.0,20,76
232,1,1.0,20,76
232,0,2.0,41,116
232,31,3.0,41,118
232,16,4.0,42,117
232,0,5.0,41,120
232,13,6.0,33,116
815,20,1.0,16,0
815,15,2.0,16,0
815,16,3.0,16,0
815,15,4.0,16,0
815,15,5.0,16,0
815,16,6.0,16,0
815,17,7.0,16,0
815,3,8.0,16,3
815,33,9.0,16,0
815,20,10.0,16,0
815,19,11.0,16,0
815,19,12.0,16,0
1323,33,1.0,19,77
1323,15,2.0,20,77
1323,14,3.0,19,77
1323,27,4.0,19,77
1323,23,5.0,19,77
1323,0,6.0,19,77
1323,13,7.0,19,77
1323,2,8.0,19,77
1323,1,9.0,19,77
1323,27,10.0,19,77
1323,3,11.0,19,77
1323,23,12.0,19,77
1399,41,1.0,9,11
1399,16,2.0,15,9
1399,14,5.0,2,39
1399,14,6.0,30,22
1399,35,7.0,32,120
1399,15,8.0,30,22
1399,14,9.0,72,67
1399,19,10.0,1,6
1399,19,10.0,0,6
1399,19,11.0,50,55
1399,43,12.0,67,62
1399,35,3.0,68,25
1399,27,4.0,76,59
1447,0,1.0,41,119
1447,45,2.0,42,117
1447,43,3.0,41,117
1447,0,4.0,41,118
1447,1,5.0,40,118
1447,1,6.0,40,118
1447,35,7.0,40,118
1447,35,8.0,42,116
1447,1,9.0,41,117
1447,21,10.0,39,118
1447,27,11.0,41,116
1447,19,12.0,41,115
1556,20,1.0,37,83
1556,43,2.0,35,84
1556,0,3.0,36,82
1556,24,4.0,36,84
1556,2,5.0,36,83
1556,11,7.0,36,84
1556,19,8.0,36,82
1556,2,9.0,35,83
1556,14,10.0,36,84
1556,17,11.0,36,85
1556,15,12.0,36,85
1556,19,6.0,36,84
1568,3,4.0,36,85
1568,0,5.0,36,84
1568,41,6.0,38,86
1568,37,7.0,36,85
1568,24,8.0,36,85
1568,13,9.0,36,85
1568,17,10.0,36,85
1568,20,11.0,38,86
1568,3,12.0,36,85
1568,24,1.0,42,86
1568,0,2.0,42,87
1568,2,3.0,37,86
1732,33,1.0,52,98
1732,33,2.0,55,97
1732,29,3.0,53,96
