userid,timeslot,rank,x,y
189,39,3.0,1840,1513
189,22,4.0,1850,1518
189,1,5.0,1855,1506
189,1,6.0,1855,1506
189,19,7.0,1855,1517
189,39,8.0,1852,1518
189,24,9.0,1853,1506
189,22,10.0,1650,1254
189,1,11.0,1683,1159
189,35,12.0,1667,1168
189,3,1.0,1855,1506
189,1,2.0,1840,1513
341,15,1.0,1842,1513
341,5,2.0,1869,1527
341,4,3.0,1853,1515
341,23,4.0,1868,1515
341,22,5.0,1853,1514
341,4,6.0,1869,1526
341,8,7.0,1853,1514
341,21,8.0,1855,1506
341,31,9.0,1853,1514
341,6,10.0,1853,1517
341,17,11.0,1853,1514
341,33,12.0,1853,1514
1620,0,1.0,1858,1507
1620,23,2.0,1874,1475
1620,5,3.0,1855,1501
1620,2,4.0,1856,1508
1620,9,5.0,1856,1510
1620,5,6.0,1856,1510
1620,1,7.0,1852,1523
1620,1,8.0,1852,1523
1620,39,9.0,1850,1517
1620,1,10.0,1856,1510
1620,2,11.0,1854,1507
1620,17,12.0,1852,1523
3198,24,1.0,1854,1515
3198,43,2.0,1852,1523
3198,7,3.0,1855,1501
3198,20,4.0,1866,1527
3198,31,5.0,1856,1510
3198,31,6.0,1856,1510
3198,17,7.0,1865,1521
3198,7,8.0,1851,1519
3198,3,9.0,1855,1506
3198,3,10.0,1851,1524
3198,3,11.0,1855,1507
3198,1,12.0,1858,1512
5049,19,1.0,1874,1532
5049,3,2.0,1860,1530
5049,0,3.0,1860,1532
5049,2,4.0,1876,1533
5049,19,5.0,1873,1532
5049,1,6.0,1869,1522
5049,1,7.0,1860,1532
5049,1,8.0,1869,1525
5049,4,9.0,1865,1521
5049,5,10.0,1859,1515
5049,1,11.0,1866,1527
5049,6,12.0,1860,1532
6223,4,1.0,1852,1523
6223,1,2.0,1870,1522
6223,6,3.0,1860,1505
6223,5,4.0,1862,1517
6223,23,5.0,1854,1518
6223,22,6.0,1859,1517
6223,43,7.0,1861,1517
6223,9,8.0,1861,1516
6223,39,9.0,1861,1516
6223,6,10.0,1856,1518
6223,39,11.0,1859,1517
6223,19,12.0,1861,1516
6758,4,3.0,1866,1527
6758,21,4.0,1888,1548
6758,0,6.0,1888,1548
6758,1,7.0,1875,1531
6758,23,9.0,1861,1523
6758,0,10.0,1860,1524
6758,21,11.0,1888,1548
6758,1,1.0,1854,1524
6758,37,2.0,1888,1547
6758,1,5.0,1888,1548
6758,2,8.0,1860,1528
6758,5,12.0,1887,1552
7436,45,1.0,1866,1527
7436,3,2.0,1866,1527
7436,6,3.0,1866,1527
7436,3,4.0,1874,1532
7436,7,5.0,1890,1544
7436,3,6.0,1866,1527
7436,4,7.0,1936,1465
7436,7,8.0,1888,1550
7436,39,9.0,1854,1521
7436,45,10.0,1866,1527
7436,2,11.0,1888,1550
7436,3,12.0,1866,1527
9032,1,8.0,2621,2030
9032,37,9.0,2096,2418
9032,1,10.0,2089,2413
9032,0,11.0,2096,2416
9032,1,12.0,2094,2419
9032,23,1.0,1845,1514
9032,3,2.0,2135,2391
9032,19,3.0,2103,2414
9032,10,4.0,2105,2412
9032,4,5.0,2094,2412
9032,17,6.0,2103,2410
9032,21,7.0,2093,2416
10403,45,1.0,1851,1524
10403,41,5.0,1861,1515
10403,5,7.0,1857,1506
10403,27,8.0,1840,1513
10403,21,2.0,1863,1525
10403,21,3.0,1855,1528
10403,21,4.0,1855,1528
10403,3,6.0,1840,1513
10403,21,9.0,1863,1525
10403,41,10.0,1853,1523
10403,23,11.0,1852,1523
10403,37,12.0,1911,1605
16195,27,1.0,1840,1513
16195,13,2.0,1842,1513
16195,35,3.0,121,2328
16195,7,4.0,439,2974
16195,22,7.0,439,2974
16195,22,8.0,1889,1551
16195,41,9.0,1854,1516
16195,19,10.0,1888,1545
16195,5,11.0,439,2974
16195,43,12.0,1885,1596
16195,20,5.0,1849,1516
16195,20,6.0,1859,1515
17008,22,1.0,1840,1513
17008,24,2.0,2095,2417
17008,43,3.0,2095,2415
17008,24,4.0,2083,2413
17008,21,5.0,2095,2416
17008,33,6.0,2078,2408
17008,43,7.0,2084,2418
17008,7,8.0,2089,2414
17008,15,11.0,2081,2418
17008,19,12.0,1840,1513
17008,4,9.0,2089,2414
17008,3,10.0,2095,2409
17024,20,1.0,2075,2412
17024,39,2.0,2078,2416
17024,22,3.0,2075,2412
17024,1,4.0,2087,2409
17024,1,5.0,2097,2418
17024,4,6.0,2078,2416
17024,33,7.0,2078,2408
17024,1,8.0,2083,2413
17024,4,9.0,2093,2416
17024,17,10.0,2081,2418
17024,17,11.0,2081,2418
17024,3,12.0,2073,2433
17982,9,1.0,2094,2419
17982,13,2.0,2084,2413
17982,43,3.0,2084,2411
17982,13,4.0,1840,1513
17982,11,5.0,2095,2417
17982,11,6.0,2097,2419
17982,5,7.0,2078,2408
17982,23,8.0,2078,2408
17982,45,9.0,2084,2412
17982,10,10.0,2089,2413
17982,1,11.0,1840,1513
17982,6,12.0,1851,1523
18113,39,5.0,2082,2418
18113,4,6.0,2078,2416
18113,5,7.0,2113,2408
18113,5,8.0,2091,2411
18113,35,9.0,2078,2416
18113,43,10.0,2082,2418
18113,23,11.0,2082,2418
18113,5,12.0,2091,2411
18113,2,1.0,2113,2408
18113,1,2.0,2096,2417
18113,3,3.0,2113,2408
18113,39,4.0,2084,2418
18348,3,11.0,2083,2413
18348,4,12.0,2080,2411
18348,1,1.0,2092,2414
18348,21,2.0,2092,2414
18348,3,3.0,2084,2413
18348,11,4.0,2078,2408
18348,1,5.0,2095,2417
18348,13,6.0,1848,1513
18348,5,7.0,2094,2410
18348,43,8.0,2076,2412
18348,23,9.0,2089,2416
18348,3,10.0,2077,2414
19601,5,1.0,2084,2413
19601,1,2.0,2097,2418
19601,7,3.0,2094,2419
19601,23,4.0,2096,2417
19601,0,5.0,2079,2410
19601,33,6.0,2083,2413
19601,3,7.0,2086,2411
19601,5,9.0,2098,2418
19601,5,10.0,2084,2413
19601,45,11.0,2078,2408
19601,5,12.0,2086,2411
19601,18,8.0,2094,2414
28098,23,5.0,1840,1513
28098,43,6.0,2097,2415
28098,2,7.0,2078,2408
28098,0,8.0,1866,1527
28098,21,9.0,1842,1513
28098,45,10.0,2078,2408
28098,3,11.0,1851,1523
28098,1,12.0,1866,1527
28098,20,1.0,1842,1513
28098,1,2.0,1853,1515
28098,3,3.0,1840,1513
28098,45,4.0,2103,2410
52612,27,1.0,1840,1513
52612,1,2.0,1852,1523
52612,41,3.0,1851,1523
52612,5,4.0,1852,1523
52612,25,5.0,1840,1513
