objectID,time_slot,rank,x,y
50001,24,1.0,122.0,41.0
50001,25,1.0,123.0,41.0
50001,27,1.0,123.0,41.0
50001,35,1.0,123.0,41.0
50001,38,1.0,122.0,41.0
50001,39,1.0,123.0,41.0
50001,44,1.0,122.0,41.0
50001,45,1.0,122.0,41.0
50001,28,2.0,122.0,41.0
50001,40,2.0,123.0,41.0
50001,41,2.0,122.0,41.0
50001,46,2.0,123.0,41.0
50001,10,3.0,122.0,41.0
50001,11,3.0,122.0,41.0
50001,12,3.0,122.0,41.0
50001,13,3.0,122.0,41.0
50001,19,3.0,120.0,35.0
50001,1,4.0,121.0,38.0
50001,14,4.0,121.0,37.0
50001,1,5.0,121.0,37.0
50001,16,5.0,120.0,35.0
50001,1,6.0,121.0,38.0
50001,27,7.0,121.0,38.0
50001,16,8.0,120.0,35.0
50001,3,9.0,123.0,41.0
50001,21,10.0,120.0,35.0
50001,23,10.0,120.0,35.0
50001,26,11.0,122.0,40.0
50001,38,11.0,122.0,41.0
50001,36,12.0,122.0,41.0
50001,14,13.0,122.0,40.0
50001,3,14.0,122.0,41.0
50001,4,14.0,122.0,41.0
50001,8,14.0,123.0,41.0
50001,1,15.0,122.0,41.0
50001,9,15.0,122.0,41.0
50001,10,15.0,122.0,41.0
50001,28,16.0,122.0,41.0
50001,37,16.0,123.0,41.0
50001,40,16.0,121.0,36.0
50001,26,17.0,121.0,38.0
50001,28,17.0,122.0,41.0
50001,36,17.0,123.0,41.0
50001,37,17.0,122.0,41.0
50001,40,17.0,122.0,41.0
50001,13,18.0,123.0,41.0
50001,21,18.0,123.0,41.0
50001,16,19.0,122.0,41.0
50001,20,19.0,123.0,41.0
50001,21,19.0,123.0,41.0
50001,22,20.0,122.0,41.0
50001,21,21.0,120.0,35.0
50001,0,22.0,120.0,35.0
50001,3,22.0,122.0,41.0
50001,10,22.0,122.0,41.0
50001,11,22.0,122.0,41.0
50001,12,22.0,123.0,41.0
50001,15,22.0,121.0,36.0
50001,25,23.0,121.0,37.0
50001,27,23.0,122.0,41.0
50001,35,23.0,122.0,41.0
50001,37,23.0,123.0,41.0
50001,39,23.0,121.0,38.0
50001,46,23.0,120.0,35.0
50001,24,24.0,120.0,35.0
50001,25,24.0,121.0,37.0
50001,41,24.0,123.0,41.0
50001,46,24.0,122.0,41.0
50001,20,25.0,120.0,35.0
50001,3,26.0,122.0,41.0
50001,8,26.0,122.0,41.0
50001,23,26.0,121.0,39.0
50001,13,27.0,122.0,40.0
50001,13,28.0,123.0,41.0
50001,15,28.0,121.0,37.0
50001,20,28.0,120.0,35.0
50001,44,29.0,122.0,41.0
50001,45,29.0,122.0,41.0
50001,13,30.0,122.0,41.0
50001,12,31.0,122.0,41.0
50001,14,31.0,122.0,40.0
50001,20,32.0,120.0,35.0
50001,38,33.0,121.0,37.0
50001,1,34.0,121.0,38.0
50001,4,34.0,122.0,41.0
50001,10,34.0,122.0,41.0
50001,13,34.0,122.0,41.0
50001,16,34.0,121.0,37.0
50001,1,35.0,120.0,36.0
50001,14,35.0,123.0,41.0
50001,20,35.0,122.0,38.0
50001,39,36.0,121.0,37.0
50001,40,36.0,121.0,37.0
50001,43,36.0,123.0,41.0
50001,44,37.0,122.0,41.0
50001,11,38.0,122.0,41.0
50001,12,38.0,122.0,41.0
50001,0,39.0,122.0,41.0
50001,12,40.0,122.0,41.0
50001,12,41.0,122.0,41.0
50001,12,42.0,123.0,41.0
50001,36,43.0,122.0,41.0
50001,38,43.0,123.0,41.0
50001,3,44.0,122.0,41.0
50001,14,44.0,121.0,37.0
50001,3,45.0,122.0,41.0
50001,13,45.0,122.0,41.0
50001,14,45.0,123.0,41.0
50001,15,45.0,122.0,41.0
50001,20,45.0,120.0,35.0
50001,1,46.0,121.0,39.0
50001,10,46.0,121.0,39.0
50001,13,46.0,122.0,41.0
50001,15,46.0,123.0,41.0
50001,19,46.0,120.0,35.0
50001,11,47.0,122.0,41.0
50001,37,48.0,122.0,41.0
50001,38,48.0,121.0,37.0
50001,39,48.0,121.0,37.0
50001,14,49.0,123.0,41.0
50001,13,50.0,122.0,41.0
50001,14,50.0,122.0,40.0
50001,15,50.0,121.0,36.0
50001,39,51.0,121.0,37.0
50001,40,51.0,123.0,41.0
50001,43,51.0,123.0,41.0
50001,38,52.0,123.0,41.0
50001,39,52.0,121.0,39.0
50001,42,52.0,122.0,41.0
50001,47,52.0,122.0,41.0
50001,0,53.0,122.0,41.0
50001,12,53.0,122.0,41.0
50001,14,53.0,122.0,38.0
50001,13,54.0,122.0,41.0
50001,19,54.0,120.0,35.0
50001,3,55.0,122.0,41.0
