userid,timeslot,rank,x,y
67,17,13.0,653,39
67,0,14.0,644,30
67,45,15.0,639,31
67,1,16.0,639,31
67,1,17.0,641,25
67,1,18.0,639,31
67,5,19.0,642,26
67,0,20.0,640,37
67,41,1.0,658,22
67,29,2.0,640,27
67,20,3.0,638,31
67,1,4.0,641,31
67,1,5.0,640,31
67,5,6.0,640,30
67,2,7.0,641,24
67,3,8.0,653,39
67,24,9.0,641,27
67,3,10.0,640,26
67,5,11.0,639,32
67,7,12.0,653,39
110,3,8.0,639,35
110,33,9.0,641,28
110,21,10.0,640,29
110,1,11.0,640,28
110,39,12.0,640,29
110,1,13.0,663,20
110,25,14.0,640,29
110,25,15.0,640,29
110,1,16.0,641,28
110,11,17.0,641,29
110,33,18.0,640,28
110,13,19.0,640,29
110,13,20.0,640,29
110,16,4.0,663,20
110,33,5.0,640,34
110,2,6.0,639,31
110,4,7.0,640,31
110,0,1.0,640,35
110,0,2.0,639,34
110,9,3.0,663,20
175,25,14.0,638,30
175,45,1.0,638,30
175,45,3.0,638,30
175,23,4.0,642,35
175,4,5.0,640,36
175,7,7.0,640,31
175,17,8.0,638,29
175,45,9.0,644,31
175,5,10.0,641,31
175,31,11.0,638,29
175,21,12.0,659,324
175,35,13.0,663,48
175,22,15.0,640,34
175,1,16.0,644,86
175,29,17.0,638,29
175,1,18.0,640,38
175,41,19.0,639,30
175,21,20.0,638,29
175,22,2.0,638,29
175,43,6.0,638,29
251,2,1.0,644,31
251,0,2.0,644,31
251,14,3.0,639,31
251,16,4.0,644,33
251,29,5.0,639,31
251,41,6.0,641,25
251,33,7.0,639,31
251,33,8.0,644,33
251,23,9.0,639,31
251,1,10.0,640,31
251,43,11.0,639,31
251,5,12.0,639,30
251,24,13.0,639,32
251,20,14.0,644,33
251,22,15.0,640,31
251,39,16.0,641,32
251,7,17.0,639,32
251,23,18.0,644,31
251,18,19.0,644,33
251,22,20.0,654,38
278,1,1.0,641,34
278,37,2.0,644,39
278,0,3.0,639,33
278,16,4.0,640,34
278,15,5.0,640,34
278,13,6.0,664,20
278,37,7.0,640,34
278,3,8.0,641,34
278,24,10.0,653,39
278,15,11.0,640,34
278,27,12.0,640,34
278,31,13.0,640,34
278,3,14.0,640,31
278,3,15.0,641,34
278,13,17.0,663,20
278,2,18.0,640,34
278,5,19.0,641,39
278,39,20.0,640,34
278,4,9.0,640,25
278,16,16.0,654,81
