userid,timeslot,rank,x,y
67,17,13.0,131,7
67,0,14.0,129,6
67,45,15.0,128,6
67,1,16.0,128,6
67,1,17.0,129,5
67,1,18.0,128,6
67,5,19.0,129,5
67,0,20.0,128,7
67,41,1.0,132,4
67,29,2.0,128,5
67,20,3.0,128,6
67,1,4.0,129,6
67,1,5.0,128,6
67,5,6.0,128,6
67,2,7.0,129,4
67,3,8.0,131,7
67,24,9.0,129,5
67,3,10.0,128,5
67,5,11.0,128,6
67,7,12.0,131,7
110,3,8.0,128,7
110,33,9.0,129,5
110,21,10.0,128,5
110,1,11.0,128,5
110,39,12.0,128,5
110,1,13.0,133,4
110,25,14.0,128,5
110,25,15.0,128,5
110,1,16.0,129,5
110,11,17.0,129,5
110,33,18.0,128,5
110,13,19.0,128,5
110,13,20.0,128,5
110,16,4.0,133,4
110,33,5.0,128,6
110,2,6.0,128,6
110,4,7.0,128,6
110,0,1.0,128,7
110,0,2.0,128,6
110,9,3.0,133,4
175,25,14.0,128,6
175,45,1.0,128,6
175,45,3.0,128,6
175,23,4.0,129,7
175,4,5.0,128,7
175,7,7.0,128,6
175,17,8.0,128,5
175,45,9.0,129,6
175,5,10.0,129,6
175,31,11.0,128,5
175,21,12.0,132,64
175,35,13.0,133,9
175,22,15.0,128,6
175,1,16.0,129,17
175,29,17.0,128,5
175,1,18.0,128,7
175,41,19.0,128,6
175,21,20.0,128,5
175,22,2.0,128,5
175,43,6.0,128,5
251,2,1.0,129,6
251,0,2.0,129,6
251,14,3.0,128,6
251,16,4.0,129,6
251,29,5.0,128,6
251,41,6.0,129,5
251,33,7.0,128,6
251,33,8.0,129,6
251,23,9.0,128,6
251,1,10.0,128,6
251,43,11.0,128,6
251,5,12.0,128,6
251,24,13.0,128,6
251,20,14.0,129,6
251,22,15.0,128,6
251,39,16.0,129,6
251,7,17.0,128,6
251,23,18.0,129,6
251,18,19.0,129,6
251,22,20.0,131,7
278,1,1.0,129,6
278,37,2.0,129,7
278,0,3.0,128,6
278,16,4.0,128,6
278,15,5.0,128,6
278,13,6.0,133,4
278,37,7.0,128,6
278,3,8.0,129,6
278,24,10.0,131,7
278,15,11.0,128,6
278,27,12.0,128,6
278,31,13.0,128,6
278,3,14.0,128,6
278,3,15.0,129,6
278,13,17.0,133,4
278,2,18.0,128,6
278,5,19.0,129,7
278,39,20.0,128,6
278,4,9.0,128,5
